episode,reward,win,steps
1,0.0,0,50
2,0.0,0,50
3,0.0,0,50
4,0.0,0,50
5,0.0,0,50
6,0.0,0,50
7,0.0,0,50
8,0.0,0,50
9,0.0,0,50
10,0.0,0,50
11,0.0,0,50
12,0.0,0,50
13,0.0,0,50
14,0.0,0,50
15,0.0,0,50
16,0.0,0,50
17,0.0,0,50
18,0.0,0,50
19,0.0,0,50
20,0.0,0,50
21,0.0,0,50
22,0.0,0,50
23,0.0,0,50
24,0.0,0,50
25,0.0,0,50
26,0.0,0,50
27,0.0,0,50
28,0.0,0,50
29,0.0,0,50
30,0.0,0,50
31,0.0,0,50
32,0.0,0,50
33,0.0,0,50
34,0.0,0,50
35,0.0,0,50
36,0.0,0,50
37,0.0,0,50
38,0.0,0,50
39,0.0,0,50
40,0.0,0,50
41,0.0,0,50
42,0.0,0,50
43,0.0,0,50
44,0.0,0,50
45,0.0,0,50
46,0.0,0,50
47,0.0,0,50
48,0.0,0,50
49,0.0,0,50
50,0.0,0,50
51,0.0,0,50
52,0.0,0,50
53,0.0,0,50
54,0.0,0,50
55,0.0,0,50
56,0.0,0,50
57,0.0,0,50
58,0.0,0,50
59,0.0,0,50
60,0.0,0,50
61,0.0,0,50
62,0.0,0,50
63,0.0,0,50
64,0.0,0,50
65,0.0,0,50
66,0.0,0,50
67,0.0,0,50
68,0.0,0,50
69,0.0,0,50
70,0.0,0,50
71,0.0,0,50
72,0.0,0,50
73,0.0,0,50
74,0.0,0,50
75,0.0,0,50
76,0.0,0,50
77,0.0,0,50
78,0.0,0,50
79,0.0,0,50
80,0.0,0,50
81,0.0,0,50
82,0.0,0,50
83,0.0,0,50
84,0.0,0,50
85,0.0,0,50
86,0.0,0,50
87,0.0,0,50
88,0.0,0,50
89,0.0,0,50
90,0.0,0,50
91,0.0,0,50
92,0.0,0,50
93,0.0,0,50
94,0.0,0,50
95,0.0,0,50
96,0.0,0,50
97,0.0,0,50
98,0.0,0,50
99,0.0,0,50
100,0.0,0,50
101,0.0,0,50
102,0.0,0,50
103,0.0,0,50
104,0.0,0,50
105,0.0,0,50
106,0.0,0,50
107,0.0,0,50
108,0.0,0,50
109,0.0,0,50
110,0.0,0,50
111,0.0,0,50
112,0.0,0,50
113,0.0,0,50
114,0.0,0,50
115,0.0,0,50
116,0.0,0,50
117,0.0,0,50
118,0.0,0,50
119,0.0,0,50
120,0.0,0,50
121,0.0,0,50
122,0.0,0,50
123,0.0,0,50
124,0.0,0,50
125,0.0,0,50
126,0.0,0,50
127,0.0,0,50
128,0.0,0,50
129,0.0,0,50
130,0.0,0,50
131,0.0,0,50
132,0.0,0,50
133,0.0,0,50
134,0.0,0,50
135,0.0,0,50
136,0.0,0,50
137,0.0,0,50
138,0.0,0,50
139,0.0,0,50
140,0.0,0,50
141,0.0,0,50
142,0.0,0,50
143,0.0,0,50
144,0.0,0,50
145,0.0,0,50
146,0.0,0,50
147,0.0,0,50
148,0.0,0,50
149,0.0,0,50
150,0.0,0,50
151,0.0,0,50
152,0.0,0,50
153,0.0,0,50
154,0.0,0,50
155,0.0,0,50
156,0.0,0,50
157,0.0,0,50
158,0.0,0,50
159,0.0,0,50
160,0.0,0,50
161,0.0,0,50
162,0.0,0,50
163,0.0,0,50
164,0.0,0,50
165,0.0,0,50
166,0.0,0,50
167,0.0,0,50
168,0.0,0,50
169,0.0,0,50
170,0.0,0,50
171,0.0,0,50
172,0.0,0,50
173,0.0,0,50
174,0.0,0,50
175,0.0,0,50
176,0.0,0,50
177,0.0,0,50
178,0.0,0,50
179,0.0,0,50
180,0.0,0,50
181,0.0,0,50
182,0.0,0,50
183,0.0,0,50
184,0.0,0,50
185,0.0,0,50
186,0.0,0,50
187,0.0,0,50
188,0.0,0,50
189,0.0,0,50
190,0.0,0,50
191,0.0,0,50
192,0.0,0,50
193,0.0,0,50
194,0.0,0,50
195,0.0,0,50
196,0.0,0,50
197,0.0,0,50
198,0.0,0,50
199,0.0,0,50
200,0.0,0,50
